,CFC11NH,CFC11SH
1977-12-31,147.15545454545455,137.14180000000002
1978-12-31,155.84475,144.85774999999998
1979-12-31,164.0185,154.17491666666666
1980-12-31,173.58683333333332,162.347
1981-12-31,180.8685833333333,170.94308333333333
1982-12-31,188.34383333333335,179.6185
1983-12-31,198.17241666666666,187.85491666666667
1984-12-31,206.2065,196.68691666666666
1985-12-31,217.543,208.35074999999998
1986-12-31,228.0583333333333,218.172
1987-12-31,239.84975,227.83891666666668
1988-12-31,252.46425,237.10666666666668
1989-12-31,260.5819166666667,246.22608333333335
1990-12-31,264.90625,254.08366666666666
1991-12-31,267.3276666666667,260.5701666666667
1992-12-31,270.0465,263.5299166666667
1993-12-31,270.9384166666667,264.93575000000004
1994-12-31,270.17741666666666,265.60133333333334
1995-12-31,268.0276666666667,264.332
1996-12-31,266.79366666666664,263.53991666666667
1997-12-31,265.39258333333333,262.7278333333333
1998-12-31,263.9001666666666,261.1913333333333
1999-12-31,262.26908333333336,260.03458333333333
2000-12-31,260.64016666666663,258.0419166666667
2001-12-31,258.87241666666665,256.35108333333335
2002-12-31,256.90625,254.672
2003-12-31,254.43716666666668,252.25175000000002
2004-12-31,252.23458333333335,250.40058333333332
2005-12-31,250.32000000000002,248.18275000000003
2006-12-31,248.13625000000002,246.36091666666667
2007-12-31,245.93283333333332,244.02783333333332
2008-12-31,243.87800000000001,241.99066666666667
2009-12-31,242.0245,240.15741666666668
2010-12-31,240.19216666666668,238.32516666666666
2011-12-31,238.13774999999998,236.22591666666668
2012-12-31,236.07566666666665,234.26816666666664
2013-12-31,234.60791666666668,232.38658333333333
2014-12-31,233.62341666666666,230.67633333333333
2015-12-31,232.391,229.52191666666667
2016-12-31,231.43058333333332,228.5095
2017-12-31,230.55483333333333,227.44899999999998
2018-12-31,229.51666666666665,226.951
2019-12-31,227.58241666666666,225.379
2020-12-31,224.83375,223.11541666666668
2021-12-31,222.26433333333333,221.06166666666664
2022-12-31,219.95974999999999,218.95433333333335
2023-12-31,218.85649999999998,218.058
