,CFC11NH,CFC11SH,CFC12NH,CFC12SH,CFC113NH,CFC113SH,SF6NH,SF6SH
1977-12-31,147.15545454545455,137.14180000000002,266.08299999999997,243.8904,,,,
1978-12-31,155.84475,144.85774999999998,283.0423333333333,258.22075,,,,
1979-12-31,164.0185,154.17491666666666,297.364,275.4306666666667,,,,
1980-12-31,173.58683333333332,162.347,313.64141666666666,290.0255,,,,
1981-12-31,180.8685833333333,170.94308333333333,329.2965,309.1661666666667,,,,
1982-12-31,188.34383333333335,179.6185,343.62875,327.0171666666667,,,,
1983-12-31,198.17241666666666,187.85491666666667,360.8040833333334,344.4859166666667,,,,
1984-12-31,206.2065,196.68691666666666,374.0925,360.7730833333333,,,,
1985-12-31,217.543,208.35074999999998,390.3433333333333,376.83908333333335,,,,
1986-12-31,228.0583333333333,218.172,409.74541666666664,395.4060833333333,,,,
1987-12-31,239.84975,227.83891666666668,430.5806666666667,416.2005833333333,,,,
1988-12-31,252.46425,237.10666666666668,458.51366666666667,437.0229166666666,,,,
1989-12-31,260.5819166666667,246.22608333333335,477.19575000000003,456.33275000000003,,,,
1990-12-31,264.90625,254.08366666666666,490.80766666666665,472.7606666666666,,,,
1991-12-31,267.3276666666667,260.5701666666667,501.00033333333334,486.55133333333333,,,,
1992-12-31,270.0465,263.5299166666667,512.1253333333333,499.72683333333333,82.81736363636364,77.9198,,
1993-12-31,270.9384166666667,264.93575000000004,517.6745,506.1963333333333,83.71158333333334,80.66741666666667,,
1994-12-31,270.17741666666666,265.60133333333334,522.0091666666667,511.3545833333333,84.57291666666667,82.89891666666666,3.531,3.127
1995-12-31,268.0276666666667,264.332,528.36375,519.2795833333333,84.5655,83.144,3.6118333333333332,3.312
1996-12-31,266.79366666666664,263.53991666666667,533.5645000000001,525.9351666666666,84.45133333333332,83.44491666666666,3.84675,3.5591666666666666
1997-12-31,265.39258333333333,262.7278333333333,536.8980833333334,530.5870833333333,83.93291666666666,83.11725,4.112666666666667,3.8273333333333333
1998-12-31,263.9001666666666,261.1913333333333,539.8736666666667,533.3184166666666,83.19500000000001,82.62983333333334,4.344916666666667,4.0535000000000005
1999-12-31,262.26908333333336,260.03458333333333,542.1633333333333,536.7954166666667,82.69208333333333,82.25475,4.506166666666666,4.26325
2000-12-31,260.64016666666663,258.0419166666667,544.4099166666666,538.96425,82.19225,81.74275,4.70225,4.46375
2001-12-31,258.87241666666665,256.35108333333335,544.9525,539.9675833333333,81.687,81.32483333333333,4.908416666666667,4.658916666666666
2002-12-31,256.90625,254.672,545.49625,540.8644166666667,80.98066666666666,80.72391666666667,5.1187499999999995,4.868916666666666
2003-12-31,254.43716666666668,252.25175000000002,544.7514166666666,540.7789166666666,80.23275,80.04416666666667,5.360250000000001,5.08925
2004-12-31,252.23458333333335,250.40058333333332,544.0767500000001,540.6669166666667,79.44425,79.3075,5.590416666666667,5.322416666666666
2005-12-31,250.32000000000002,248.18275000000003,543.2036666666667,539.87425,78.86308333333334,78.68091666666668,5.813416666666666,5.5395
2006-12-31,248.13625000000002,246.36091666666667,541.4266666666666,538.7566666666667,78.22841666666666,78.14883333333333,6.053666666666667,5.7739166666666675
2007-12-31,245.93283333333332,244.02783333333332,539.0964166666666,536.6405,77.40474999999999,77.22591666666666,6.334583333333334,6.039833333333333
2008-12-31,243.87800000000001,241.99066666666667,536.4316666666667,534.5696666666666,76.52108333333334,76.42016666666667,6.634666666666667,6.316583333333334
2009-12-31,242.0245,240.15741666666668,533.8598333333333,532.0828333333333,75.97641666666667,75.83166666666666,6.919416666666667,6.600333333333334
2010-12-31,240.19216666666668,238.32516666666666,530.2934166666666,528.57225,75.32741666666666,75.2415,7.2250000000000005,6.883416666666666
2011-12-31,238.13774999999998,236.22591666666668,527.5295,525.9460833333334,74.65616666666666,74.47858333333333,7.4830000000000005,7.166916666666666
2012-12-31,236.07566666666665,234.26816666666664,524.8081666666667,523.3501666666667,73.96266666666666,73.78566666666667,7.77675,7.447166666666667
2013-12-31,234.60791666666668,232.38658333333333,521.2975833333334,520.0936666666666,73.24725,73.13766666666668,8.11,7.747833333333333
2014-12-31,233.62341666666666,230.67633333333333,518.5874166666666,516.9918333333334,72.64450000000001,72.50941666666667,8.441916666666666,8.079083333333333
2015-12-31,232.391,229.52191666666667,515.7421666666667,513.9415833333334,72.06725,71.92366666666666,8.77425,8.41675
2016-12-31,231.43058333333332,228.5095,512.5690833333333,511.3120833333333,71.49141666666667,71.37116666666667,9.1135,8.734666666666667
2017-12-31,230.55483333333333,227.44899999999998,508.8915833333333,507.99916666666667,70.916,70.74583333333334,9.459249999999999,9.076666666666666
2018-12-31,229.51666666666665,226.951,505.87716666666665,505.376,70.31633333333333,70.24316666666667,9.796416666666667,9.436166666666667
2019-12-31,227.58241666666666,225.379,501.6334166666666,501.06125,69.63033333333334,69.58158333333334,10.14175,9.775666666666666
2020-12-31,224.83375,223.11541666666668,497.6209166666667,496.7635833333333,69.00366666666666,68.9005,10.462,10.10375
2021-12-31,222.26433333333333,221.06166666666664,493.421,493.1624166666666,68.37483333333334,68.31883333333333,10.865833333333335,10.456999999999999
2022-12-31,219.95974999999999,218.95433333333335,489.73991666666666,489.81766666666664,67.78891666666667,67.7955,11.255583333333334,10.838166666666666
2023-12-31,218.85649999999998,218.058,487.70050000000003,487.582,67.49549999999999,67.528,11.486,11.192333333333332
