,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
51,0.000514449,90.27687292617927,39.35544825628973,64.81616059123449,97.74846097475162,65.43415187900064,81.59130642687612
52,0.000660565,67.70414266574826,32.28346491261269,49.99380378918047,76.47417286716674,49.91055838562443,63.192365626395585
53,0.000848182,55.763403373332615,32.68263886760153,44.2230217099632,59.41951491543089,37.90151288284826,48.66051389913957
54,0.001089088,43.84162987747546,17.98752442410531,30.914577150790386,46.579547290944355,28.81388739936534,37.69671780425457
55,0.001297373,36.18948135963982,19.069201378477892,27.629341754453034,40.17496124861547,24.954933546482007,32.564947782942916
56,0.001433817,34.77056137568462,21.75961227967028,28.26508682767745,36.41685584701534,22.566394456196296,29.49162550032536
57,0.001545487,31.918729177275516,14.351418031986036,23.135073281108156,33.89923952773462,20.903781138243154,27.40151033298889
58,0.001624727,31.964965191075176,14.033313904428251,22.999139547751714,32.01906043292196,19.617105519881186,25.818082668657564
59,0.001751271,30.64625806057429,11.66347527024658,21.154866950917363,29.829174924954508,18.199410028487883,24.01429247672119
60,0.00193545,25.395411403032888,11.614000878348705,18.50470639902865,27.421463742282157,16.657099899248237,22.039281820765197
61,0.002139001,23.171167755414793,10.37461927320277,16.77289351430878,24.529493908604994,14.841219803076296,19.685356855840645
62,0.002363964,22.078078600181726,9.626002341829231,15.85204047100548,22.53648109700486,13.641014837789406,18.088747967397133
63,0.002548084,20.94236022046369,12.73214383827221,16.83725183314208,21.041111674497387,12.449052699989483,16.745082187243437
64,0.002678728,18.338331476730744,9.089556685113234,13.71394408092199,19.944482231865273,12.225499192153888,16.08499071200958
65,0.002804405,16.76117750467568,6.248811066875148,11.504994107484476,19.106771668143512,11.523853009818483,15.315312517271934
66,0.002948187,17.336093673840907,9.878398826126022,13.607246080387709,18.138801236149536,11.04025999707617,14.589530447017099
67,0.00319102,16.497695721117385,7.659142217848838,12.0784188127934,16.896229732185947,9.982998539651899,13.439614292608633
68,0.003526626,14.898284365849966,7.957912463640885,11.428098414745424,15.421602404110896,9.395548322957977,12.40857550531301
69,0.003897522,13.837248898146052,5.281087829651763,9.559168363898907,13.842731355974387,8.505165846401894,11.1739484729015
70,0.003897522,13.146437146474092,4.873350297958549,9.00989372221632,13.773736235485007,8.441971847753521,11.107854169905904
71,0.003897522,13.350552735815217,5.723856080863687,9.537204408339452,13.822738139771886,8.356576819835782,11.089657479803833
72,0.003897522,12.860672755663726,6.186250905062241,9.523461830362985,13.760763633919193,8.508411241809538,11.134587309577727
73,0.003897522,15.220406709699137,5.746134082116791,10.483270395907963,14.562928701877757,8.889129298051428,11.726028999964594
74,0.003897522,13.685128140392793,8.263933853356054,10.974530996874424,12.710778797399989,9.292581286263426,11.001680041831708
75,0.006671471,8.851218719229987,3.4791154754326294,6.1651671722772985,8.161817236408583,5.419078491085399,6.790447863746991
76,0.007559765,7.595059634790234,2.8280847354382046,5.211572185114219,7.091430355308663,4.592060070650344,5.841745212979504
77,0.008566339,6.459238421454019,2.0249779981856895,4.242108209819855,6.110645632866036,3.3868895452304657,4.748767589048251
78,0.009706944,6.4806876396938105,2.2093312787217068,4.345009510717276,5.7093832003151554,3.2035065825042364,4.456444891409696
79,0.01099941,5.7706693359007435,2.620499190411122,4.195584308612917,5.181970305680032,2.8237155447428544,4.00284287975446
80,0.012463949,5.447266833328667,1.8896986821752881,3.668482757751977,4.5572915133077005,2.471892896865993,3.5145922050868466
81,0.014123506,5.006597795193346,1.5895766249541723,3.2980871746717852,4.107025620975415,2.175700990957911,3.1413633413686375
82,0.016004032,4.360584820125329,1.7351330589691396,3.047858939547234,3.5347493681592237,1.8993074995101233,2.7170284338346735
83,0.01813492,4.1182274859773305,1.49718278327117,2.80770513462425,3.2177266842092496,1.6795356141631725,2.4486311491862107
84,0.020294276,4.276438440080345,1.2062579123295651,2.7413481515674665,2.935793274911606,1.4757530645586963,2.205773145097662
85,0.021603161,3.750045653041238,1.0756880439857852,2.4128668485135116,2.815783208762829,1.3700753792465834,2.0929293171494674
86,0.022710779,3.55274770627639,1.1086734629402188,2.3307105846083043,2.647458372079619,1.294928852946876,1.9711936345292251
