,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
219,7.31615326,0.001148252599618177,0.0037351396326544425,0.0024416961161363095,1.8187289860026796e-05,1.878664854541333e-05,1.848703754464542e-05
220,7.501363742,0.0008145030970556555,0.0042100600752337175,0.0025122815861446865,1.8694200791096634e-05,1.8183760272319828e-06,1.0256281743709637e-05
221,7.69126394,0.0008120743285790813,0.003255215423019276,0.0020336449408079995,1.14459990824343e-05,1.7358655357756452e-06,6.590932309104972e-06
222,7.885968779,0.0010083065534287224,0.005318985552123754,0.0031636460527762382,7.298710103097658e-06,1.3744157888201044e-05,1.0521459357149708e-05
223,8.085603075,0.0008942080056285721,0.002834962313556308,0.0018645850977541338,1.2444093417237157e-05,1.9593591044536898e-07,6.320010953542881e-06
224,8.290292278,0.0006599855368814537,0.0022186358916210934,0.0014393107745627781,6.9295747452053825e-06,3.978786138521713e-06,5.454186473013997e-06
225,8.500161063,0.0007141202331356341,0.0030659635513779443,0.001890041833434374,3.7532700573017363e-06,4.746627705164932e-06,4.249954763474815e-06
226,8.715344004,0.0007517066448545431,0.0029751426895024942,0.0018634246671785186,2.785283058116681e-06,5.0181610708570255e-06,3.901727801495051e-06
227,8.935971549,0.0008830322429666903,0.0025519981654990834,0.0017175152042328869,2.9469207523324003e-06,1.3775894352951011e-07,1.5423392883947062e-06
228,9.162188836,0.0006086097001286472,0.0026645814048358255,0.0016365954979101242,2.70646026226478e-06,4.151737175568513e-07,1.5608169899108156e-06
229,9.394131178,0.0009812969209530022,0.001988769333320885,0.0014850331271369435,1.0504153937204047e-06,2.6821958861941705e-06,1.8663035109684948e-06
230,9.631942467,0.0005357974279519749,0.0016376615676477336,0.0010867294977998543,1.0027811143070857e-06,7.228697662859493e-07,8.628259594026082e-07
231,9.875778149,0.0007396040990187293,0.001836253480626866,0.0012879287898227977,3.469144353295253e-07,1.6123387706529574e-06,9.796250841235862e-07
232,10.12580851,0.0004584909931305821,0.0022000028914234324,0.0013292469422770074,6.719621443838661e-08,0.0,3.3598107219193305e-08
233,10.38213926,0.00035676019240759053,0.0019662235777022316,0.0011614918368952796,5.385026977571094e-08,0.0,2.692518304748688e-08
234,10.64491854,0.0006154305432571211,0.004493206201651214,0.002554318372454168,9.688754273924205e-07,0.0,4.844367742808485e-07
235,10.9143971,0.0004216695579089751,0.0016304644990422787,0.0010260670284756269,0.0,0.0,0.0
236,11.19072556,0.0005634752604906164,0.0016380002263231268,0.0011007377434068715,0.0,0.0,0.0
237,11.47400394,0.00035408842643294404,0.0012234978367978494,0.0007887931751921639,0.0,0.0,0.0
238,11.76448039,0.000399362134514128,0.0016280679949350488,0.0010137150647245884,0.0,0.0,0.0
239,12.06230803,0.0004366260575423226,0.001218906527957403,0.0008277662927498626,0.0,0.0,0.0
240,12.36763376,0.0006116095565882928,0.0012203751576809305,0.0009159923571346116,0.0,0.0,0.0
241,12.68070947,0.0004947503934888274,0.0015062403286809157,0.0010004953610848715,0.0,0.0,0.0
242,13.00173393,0.0006965765526936913,0.001284752563768239,0.0009906645582309652,0.0,0.0,0.0
243,13.33090839,0.0007702635634119754,0.0018654104636000727,0.0013178369759992026,0.0,0.0,0.0
244,13.66838226,0.0003916118892624532,0.0022001457398514402,0.0012958788145569467,0.0,0.0,0.0
245,14.01440492,0.00033001650989830254,0.0012935722282526997,0.0008117943690755012,0.0,0.0,0.0
246,14.36917764,0.0003381164268214865,0.004514711114671695,0.0024264137359498884,0.0,0.0,0.0
247,14.73294856,0.00030630453786095345,0.0017530010978331957,0.0010296528178470746,0.0,0.0,0.0
248,15.1059202,0.0003808270481926682,0.00141476664228638,0.0008977968783391296,0.0,0.0,0.0
249,15.48829007,0.0004180849513234872,0.0009723459421237453,0.0006952154790060695,0.0,0.0,0.0
250,15.88035945,0.00029060204931318477,0.001347716345299728,0.0008191592287918898,0.0,0.0,0.0
251,16.28237774,0.0003736133688297542,0.001068748021810726,0.0007211807260282859,0.0,0.0,0.0
252,16.69459557,0.000271412205285306,0.0009743023083008413,0.0006228572567930737,0.0,0.0,0.0
253,17.11721296,0.0002345005001328207,0.0010632685965017053,0.0006488845483172631,0.0,0.0,0.0
254,17.55052869,0.00022334575038947163,0.0010894917946770982,0.000656418801022455,0.0,0.0,0.0
255,17.99484403,0.00018908266136275035,0.0009734606741128837,0.000581271667737817,0.0,0.0,0.0
256,18.45040837,0.0002446344768899009,0.0018281947653172729,0.0010364146211035868,0.0,0.0,0.0
257,18.91747236,0.0001862617231808658,0.0009966406526838978,0.0005914512143629742,0.0,0.0,0.0
258,19.39633477,0.00024079925694126385,0.0007422403856561196,0.0004915198212986916,0.0,0.0,0.0
259,19.81933399,0.00019719547599187515,0.0007923495818741183,0.0004947725289329968,0.0,0.0,0.0
260,20.88203582,0.000221894504919971,0.0010768877227220464,0.0006493910898769832,0.0,0.0,0.0
261,22.76452096,0.0001954817765688666,0.0007185833178191333,0.000457032547194,0.0,0.0,0.0
262,24.81670953,0.00014690871872408137,0.0006826852278509947,0.000414796973287538,0.0,0.0,0.0
263,27.05389981,0.0001857627563972264,0.0005504855900477292,0.0003681241547408539,0.0,0.0,0.0
264,29.49276971,0.00013748271321649294,0.0005434915119065635,0.00034048711256152824,0.0,0.0,0.0
265,32.15149941,0.00015564216574122134,0.0006591644989784941,0.0004074033323598577,0.0,0.0,0.0
266,35.0499107,0.00014271440069603376,0.0006111276911184827,0.00037692104590725825,0.0,0.0,0.0
267,38.20961031,0.00012307649729600186,0.0004552278565229889,0.0002891521769094954,0.0,0.0,0.0
268,41.65415101,0.00010139308802587452,0.0004695994642959835,0.000285496276160929,0.0,0.0,0.0
269,45.4092111,0.0001285367408640138,0.00034013579240534304,0.00023433626663467845,0.0,0.0,0.0
270,49.50278519,9.279138501742148e-05,0.00044171714613781317,0.0002672542756780591,0.0,0.0,0.0
271,53.96538931,7.325204266185993e-05,0.0003108378020519834,0.00019204492235692165,0.0,0.0,0.0
272,58.83028905,6.803862541960433e-05,0.00037777560435086797,0.00022290711488523617,0.0,0.0,0.0
273,64.13375435,6.672826257207877e-05,0.00035570627715793464,0.00021121727766121334,0.0,0.0,0.0
274,69.91531937,5.2649977618202785e-05,0.0002593281867747549,0.00015598908934798733,0.0,0.0,0.0
275,76.21808248,4.966158786523174e-05,0.00021575618888490302,0.00013270888837506737,0.0,0.0,0.0
276,83.08903412,4.798653687852017e-05,0.00024590453140292207,0.00014694554015836237,0.0,0.0,0.0
277,90.57939466,3.1414716455999774e-05,0.000249598311899339,0.00014050651417766937,0.0,0.0,0.0
278,98.74498328,4.448946016369208e-05,0.0001520399163715368,9.826468826761444e-05,0.0,0.0,0.0
279,107.646687,2.5701859268553243e-05,0.00015889287888627728,9.229736907741526e-05,0.0,0.0,0.0
280,117.3508978,2.2299940171399356e-05,0.0001285953604353251,7.544765456408804e-05,0.0,0.0,0.0
281,127.9298966,1.8363158748929997e-05,0.00010837325260528664,6.336820567710831e-05,0.0,0.0,0.0
282,139.4626015,2.1979132520340944e-05,0.00011462470818744909,6.830191676870448e-05,0.0,0.0,0.0
283,152.0349939,2.0418904361201808e-05,8.699311034076346e-05,5.370601063969918e-05,0.0,0.0,0.0
284,165.7407275,2.2328730275423704e-05,8.911115102955007e-05,5.57199436692469e-05,0.0,0.0,0.0
285,180.682012,1.611282699242911e-05,5.333243687811048e-05,3.4722631935269796e-05,0.0,0.0,0.0
286,196.9701918,9.248719226763732e-06,5.3365277781082e-05,3.130700104237803e-05,0.0,0.0,0.0
287,214.7267514,1.9041078828522712e-05,3.979769611510082e-05,2.9419385143270975e-05,0.0,0.0,0.0
288,234.0840724,4.944761888891335e-06,3.666336163758573e-05,2.0804059627253817e-05,0.0,0.0,0.0
289,255.1864173,7.984237646961942e-06,3.414273805081553e-05,2.1063487848888736e-05,0.0,0.0,0.0
290,278.1910915,4.435483513676784e-06,2.2021456427550626e-05,1.3228471767939412e-05,0.0,0.0,0.0
291,303.269631,4.730846261358758e-06,1.8816084489514876e-05,1.1773467024134704e-05,0.0,0.0,0.0
292,330.6089691,2.160032142939222e-06,1.1725063027033285e-05,6.942549097346917e-06,0.0,0.0,0.0
293,360.4128593,1.9616725146077498e-06,7.988660575519039e-06,4.975166545063394e-06,0.0,0.0,0.0
294,392.9035467,1.1133164963104671e-06,1.0404960795941831e-05,5.759138646126149e-06,0.0,0.0,0.0
295,428.3232557,9.466775259198236e-07,7.915939550045776e-06,4.43130737064016e-06,0.0,0.0,0.0
296,466.9359927,1.259446710457024e-06,7.2121705172632755e-06,4.235809684670727e-06,0.0,0.0,0.0
297,509.0295863,7.087092964914366e-07,4.4740267781955446e-06,2.5913680373434908e-06,0.0,0.0,0.0
298,554.9178462,2.098552079329396e-06,4.140248895819347e-06,3.1194004875743713e-06,0.0,0.0,0.0
299,604.9428525,9.919019582101767e-07,4.127503928149974e-06,2.559702943180075e-06,0.0,0.0,0.0
300,659.4775578,3.513538819622286e-07,2.6502994367703107e-06,1.500825901190356e-06,0.0,0.0,0.0
301,718.9284856,6.991349071118235e-07,2.554066276101941e-06,1.6265998961274152e-06,0.0,0.0,0.0
302,783.7388681,1.997884836050024e-07,1.5790131769273164e-06,8.894008302661594e-07,0.0,0.0,0.0
303,854.3918142,3.795284489044675e-07,1.146663607629868e-06,7.630960282671678e-07,0.0,0.0,0.0
304,931.4139742,7.375936146868259e-08,3.606549926293773e-06,1.8401549122903422e-06,0.0,0.0,0.0
305,1015.379761,1.075272564941345e-07,7.35974882209613e-07,4.2175156177847037e-07,0.0,0.0,0.0
306,1106.915009,3.202450026585555e-07,6.648459854789085e-07,4.925454940687321e-07,0.0,0.0,0.0
307,1206.701581,7.57633879324469e-08,3.4346271400136667e-07,2.0961271948478536e-07,0.0,0.0,0.0
308,1315.483746,7.928034102825014e-08,5.655501272913485e-07,3.2241523415979935e-07,0.0,0.0,0.0
309,1434.072793,4.967760377837389e-08,2.782941019089538e-07,1.6398609690379922e-07,0.0,0.0,0.0
310,1563.352383,1.3778275604547438e-08,1.0538634909926127e-07,5.95824082995625e-08,0.0,0.0,0.0
311,1704.286124,3.284953108026361e-09,1.8990766599705062e-07,9.659645624152251e-08,0.0,0.0,0.0
312,1857.925008,1.5670761669407486e-08,1.1831155673856994e-07,6.699086317481766e-08,0.0,0.0,0.0
313,2025.414511,9.015487891900465e-08,1.26427454039308e-07,1.082914133422045e-07,0.0,0.0,0.0
314,2208.002464,8.528387221944693e-09,5.1448765049928854e-08,2.9988508201229975e-08,0.0,0.0,0.0
315,2407.050547,1.0128744504508323e-08,5.264741953921253e-08,3.138795738800079e-08,0.0,0.0,0.0
316,2624.042945,0.0,8.690101678194904e-08,4.345050839097452e-08,0.0,0.0,0.0
317,2860.596622,2.411199799004727e-09,1.1363538553461942e-08,6.887374419894704e-09,0.0,0.0,0.0
318,3118.47542,0.0,5.97186044198482e-08,2.9859238076021134e-08,0.0,0.0,0.0
319,3399.601591,1.2283027549624416e-09,3.854275169975351e-08,1.9885565467132996e-08,0.0,0.0,0.0
320,3706.070639,8.935501566407136e-09,2.4013735481311207e-08,1.6474618523859174e-08,0.0,0.0,0.0
321,4040.167462,0.0,2.0277476310213402e-08,1.0138738155106701e-08,0.0,0.0,0.0
322,4404.382721,1.8379806008688588e-09,5.706974527929541e-11,9.47524378411074e-10,0.0,0.0,0.0
323,4801.431418,1.5243120983801584e-09,7.34682991987703e-09,4.435573091840838e-09,0.0,0.0,0.0
324,5234.273264,0.0,4.675548785028049e-09,2.3377648400895564e-09,0.0,0.0,0.0
325,5706.135266,0.0,3.061213796329237e-10,1.5306051456649783e-10,0.0,0.0,0.0
326,6220.535144,0.0,0.0,0.0,0.0,0.0,0.0
327,6781.307347,0.0,1.7061754331365803e-09,8.530862419263829e-10,0.0,0.0,0.0
328,7392.632439,0.0,0.0,0.0,0.0,0.0,0.0
329,8059.067249,0.0,1.4415812203877047e-09,7.207918510322385e-10,0.0,0.0,0.0
330,8785.580041,0.0,8.209566091641963e-10,4.1047830458209813e-10,0.0,0.0,0.0
331,9577.587371,0.0,2.5660220103462213e-09,1.283005784651693e-09,0.0,0.0,0.0
