,CFC113NH,CFC113SH
1992-12-31,82.81736363636364,77.9198
1993-12-31,83.71158333333334,80.66741666666667
1994-12-31,84.57291666666667,82.89891666666666
1995-12-31,84.5655,83.144
1996-12-31,84.45133333333332,83.44491666666666
1997-12-31,83.93291666666666,83.11725
1998-12-31,83.19500000000001,82.62983333333334
1999-12-31,82.69208333333333,82.25475
2000-12-31,82.19225,81.74275
2001-12-31,81.687,81.32483333333333
2002-12-31,80.98066666666666,80.72391666666667
2003-12-31,80.23275,80.04416666666667
2004-12-31,79.44425,79.3075
2005-12-31,78.86308333333334,78.68091666666668
2006-12-31,78.22841666666666,78.14883333333333
2007-12-31,77.40474999999999,77.22591666666666
2008-12-31,76.52108333333334,76.42016666666667
2009-12-31,75.97641666666667,75.83166666666666
2010-12-31,75.32741666666666,75.2415
2011-12-31,74.65616666666666,74.47858333333333
2012-12-31,73.96266666666666,73.78566666666667
2013-12-31,73.24725,73.13766666666668
2014-12-31,72.64450000000001,72.50941666666667
2015-12-31,72.06725,71.92366666666666
2016-12-31,71.49141666666667,71.37116666666667
2017-12-31,70.916,70.74583333333334
2018-12-31,70.31633333333333,70.24316666666667
2019-12-31,69.63033333333334,69.58158333333334
2020-12-31,69.00366666666666,68.9005
2021-12-31,68.37483333333334,68.31883333333333
2022-12-31,67.78891666666667,67.7955
2023-12-31,67.49549999999999,67.528
