energy,xsection,Min_Cross_Section,Max_Cross_Section
0.0001399813,2.6110999999999998e-20,0.0,4.0889248592e-11
0.0001447983,2.573e-20,0.0,4.0464581872e-11
0.0001497809,2.5355e-20,0.0,4.0025315856e-11
0.0001549351,2.4988e-20,0.0,3.9633301248e-11
0.0001602666,2.4628e-20,0.0,3.9230666368e-11
0.0001657815,2.4275e-20,0.0,3.884752116e-11
0.0001714863,2.3929e-20,0.0,3.8474655432e-11
0.0001773873,2.3589e-20,0.0,3.8109210376e-11
0.0001834914,2.3256e-20,0.0,3.7762009168e-11
0.0001898056,2.293e-20,0.0,3.7419273344e-11
0.000196337,2.261e-20,0.0,3.7094270880000005e-11
0.0002030932,2.2296e-20,0.0,3.677749390078998e-11
0.0002100819,2.1988999999999998e-20,0.0,3.647359412853178e-11
0.0002173111,2.1688e-20,0.0,3.61775658529642e-11
0.000224789,2.1393e-20,0.0,3.589443705074372e-11
0.0002325243,2.1104e-20,0.0,3.562264959789339e-11
0.0002405257,2.082e-20,0.0,3.535785342680236e-11
0.0002488025,2.0542999999999998e-20,0.0,3.51109179417835e-11
0.0002573641,2.0271e-20,0.0,3.4866442260337345e-11
0.0002662203,2.0004999999999998e-20,0.0,3.46407985623799e-11
0.0002753812,1.9745e-20,0.0,3.4422714312148603e-11
0.0002848574,1.9489e-20,0.0,3.421177726140488e-11
0.0002946597,1.924e-20,0.0,3.4030046484235995e-11
0.0003047993,1.8995e-20,0.0,3.3842062298057077e-11
0.0003152878,1.8755999999999998e-20,0.0,3.365959941641164e-11
0.0003261372,1.8522e-20,0.0,3.350362626147605e-11
0.00033736,1.8292999999999998e-20,0.0,3.334228503309373e-11
0.0003489689,1.8069e-20,0.0,3.320338680876806e-11
0.0003609774,1.7849e-20,0.0,3.307049080492492e-11
0.000373399,1.7635e-20,0.0,3.2946139563020426e-11
0.0003862481,1.7424999999999998e-20,0.0,3.283914755533414e-11
0.0003995394,1.722e-20,0.0,3.2734807508362395e-11
0.000413288,1.702e-20,0.0,3.265114760515266e-11
0.0004275097,1.6824e-20,0.0,3.257017991327942e-11
0.0004422208,1.6633e-20,0.0,3.251108818897638e-11
0.0004574382,1.6445999999999998e-20,0.0,3.244996275271334e-11
0.0004731792,1.6262999999999998e-20,0.0,3.240822379229623e-11
0.0004915362,1.6063e-20,0.0,3.237111132155778e-11
0.0005106053,1.5868e-20,0.0,3.23482307168e-11
0.0005304143,1.5678e-20,0.0,3.23374546208e-11
0.0005509917,1.5493e-20,0.0,3.2349002953600004e-11
0.0005723674,1.5314e-20,0.0,3.2371156326400005e-11
0.0005945724,1.5139e-20,0.0,3.24059474432e-11
0.0006176389,1.4969e-20,0.0,3.2460568915200005e-11
0.0006416002,1.4803999999999998e-20,0.0,3.25343078784e-11
0.0006664911,1.4643e-20,0.0,3.26187378112e-11
0.0006923476,1.4487e-20,0.0,3.27118723712e-11
0.0007192072,1.4336e-20,0.0,3.28330628864e-11
0.0007471089,1.4187999999999998e-20,0.0,3.29589553568e-11
0.000776093,1.4046e-20,0.0,3.3112693456e-11
0.0008062015,1.3907e-20,0.0,3.3275038487999996e-11
0.0008374782,1.3772e-20,0.0,3.34612671072e-11
0.0008699681,1.3641999999999998e-20,0.0,3.3659325537600004e-11
0.0009075485,1.3502e-20,0.0,3.3906122040000005e-11
0.0009467523,1.3365999999999999e-20,0.0,3.4170876376e-11
0.0009876496,1.3234999999999999e-20,0.0,3.4462065152e-11
0.001030314,1.3109e-20,0.0,3.477796128e-11
0.00107482,1.2987e-20,0.0,3.511639168e-11
0.00112125,1.2869e-20,0.0,3.547966e-11
0.001169685,1.2755e-20,0.0,3.587148472e-11
0.001220212,1.2646e-20,0.0,3.6289210624e-11
0.001278317,1.253e-20,0.0,3.6782885416e-11
0.001339189,1.2419e-20,0.0,3.7309306472e-11
0.001402959,1.2312e-20,0.0,3.7869288968e-11
0.001469766,1.221e-20,0.0,3.8467345232e-11
0.001539754,1.2111999999999999e-20,0.0,3.91037368e-11
0.001613074,1.2018e-20,0.0,3.97782808e-11
0.001689887,1.1928e-20,0.0,4.0497418704e-11
0.001777859,1.1834e-20,0.0,4.1327886296e-11
0.001870412,1.1745e-20,0.0,4.2211212128e-11
0.001967782,1.1659999999999999e-20,0.0,4.3152387504e-11
0.002070221,1.1578e-20,0.0,4.415077801589776e-11
0.002187224,1.1495e-20,0.0,4.5300189805938744e-11
0.002310839,1.1415e-20,0.0,4.6524048347880295e-11
0.002441441,1.134e-20,0.0,4.782630624269348e-11
0.002590355,1.1262999999999999e-20,0.0,4.932213826761222e-11
0.002748352,1.1190999999999999e-20,0.0,5.091479038341646e-11
0.002915986,1.1122999999999999e-20,0.0,5.261659762303706e-11
0.003106957,1.1054e-20,0.0,5.456266638740599e-11
0.003310435,1.0989e-20,0.0,5.664526409616958e-11
0.003542187,1.0924e-20,0.0,5.90267237618361e-11
0.003790163,1.0864e-20,0.0,6.158446242060555e-11
0.004072686,1.0803999999999999e-20,0.0,6.450762583424853e-11
0.004376269,1.0748e-20,0.0,6.76579812410239e-11
0.00472241,1.0692999999999999e-20,0.0,7.126001157412296e-11
0.00509593,1.0642999999999999e-20,0.0,7.5152355712e-11
0.005522297,1.0593e-20,0.0,7.960630175679999e-11
0.0060097,1.0545e-20,0.0,8.470619392e-11
0.006567839,1.0499e-20,0.0,9.055598688959999e-11
0.007208233,1.0454e-20,0.0,9.72762130864e-11
0.007944595,1.0412e-20,0.0,1.0501358264e-10
0.00879329,1.0371999999999999e-20,0.0,1.1393575712e-10
0.009773895,1.0334999999999999e-20,0.0,1.2425956656e-10
0.01095613,1.0299e-20,0.0,1.3671143472e-10
0.01233342,1.0266e-20,0.0,1.5123358048e-10
0.01400177,1.0233999999999999e-20,0.0,1.6882466288e-10
0.01603082,1.0203999999999999e-20,0.0,1.9022721264e-10
0.01850981,1.0177e-20,0.0,2.1639359360000002e-10
0.02164502,1.0150999999999999e-20,0.0,2.494889281509434e-10
0.02520446,1.013e-20,0.0,2.870712418113208e-10
0.0253,1.0129e-20,0.0,2.8808e-10
0.03034565,1.0108e-20,0.0,3.413651408952516e-10
0.03717541,1.0087999999999999e-20,0.0,4.135058701862348e-10
0.04651556,1.007e-20,0.0,5.121662565829959e-10
0.05995112,1.0054999999999999e-20,0.0,6.540920512244117e-10
0.07992627,1.0041e-20,0.0,8.651173540989094e-10
0.1121041,1.0028999999999999e-20,0.0,1.2050673956799999e-09
0.1682442,1.0019e-20,0.0,1.7981763241600001e-09
0.2806564,1.0012e-20,0.0,2.9857964272893103e-09
0.5591766,1.0006e-20,0.0,5.928358411936001e-09
1.620725,1.0002e-20,0.0,1.714363548e-08
99551.81,1e-20,0.0,0.0010517618085106382
100000.0,4.1658e-20,0.0,0.0010565
101410.8,9.79e-18,0.0,0.0010714059574468084
123385.6,1.6212e-16,0.0,0.0013035638235294118
124454.3,1.1673e-15,0.0,0.0013148642777777778
126210.1,3.4407e-13,0.0,0.001333411
155725.1,6.1249e-12,0.0,0.0016452354225352113
157768.2,4.4486e-11,0.0,0.0016668201321585906
157776.9,8.0003e-11,0.0,0.0016669121145374448
157779.1,9.0821e-11,0.0,0.0016669353744493394
157781.2,1.0229e-10,0.0,0.0016669575770925113
157784.0,1.1742e-10,0.0,0.00166698718061674
157787.2,1.3655e-10,0.0,0.0016670210132158593
157791.0,1.5988e-10,0.0,0.0016670611894273129
157796.5,1.9445e-10,0.0,0.0016671193392070484
157808.4,2.7276e-10,0.0,0.001667245154185022
193100.0,2.33813e-07,0.0,0.0020401
200000.0,2.51351e-07,0.0,0.002113
300000.0,3.31093e-06,0.0,0.0031695
400000.0,2.18848e-05,0.0,0.004226
500000.0,9.36805e-05,0.0,0.0052825
599882.0,0.000296829,0.0,0.006337751594202899
699830.8,0.000757305,0.0,0.007393712349514563
800000.0,0.00164524,0.0,0.008452
