Incident energy [eV];xsec [barns]
6800000;0.031071775
7000000;0.029830278
7200000;0.035530036
7400000;0.037677303
7600000;0.038783998
7800000;0.04300715
8000000;0.041831314
8500000;0.049223961
9000000;0.061059653
1.00E+07;0.073903371
1.01E+07;0.075604031
1.03E+07;0.077328654
1.04E+07;0.079077609
1.05E+07;0.0799305
1.06E+07;0.081580084
1.08E+07;0.083252941
1.10E+07;0.084949399
1.10E+07;0.0854983
1.12E+07;0.086966896
1.13E+07;0.088456211
1.15E+07;0.089966538
1.15E+07;0.0902299
1.17E+07;0.091303308
1.18E+07;0.09239186
1.20E+07;0.09349577
1.20E+07;0.0935379
1.22E+07;0.093984983
1.23E+07;0.094438374
1.25E+07;0.0948583
1.27E+07;0.094576951
1.29E+07;0.094291632
1.30E+07;0.09406061
1.32E+07;0.093214152
1.34E+07;0.092355752
1.35E+07;0.09175301
1.37E+07;0.090601367
1.39E+07;0.089433475
1.40E+07;0.0887297
1.42E+07;0.086985565
1.44E+07;0.085216824
1.45E+07;0.0843145
1.47E+07;0.082438153
1.49E+07;0.080535334
1.50E+07;0.0797284
1.52E+07;0.077603728
1.54E+07;0.075449081
1.56E+07;0.073264036
1.59E+07;0.071048164
1.60E+07;0.06968851
1.62E+07;0.06774442
1.65E+07;0.065772903
1.67E+07;0.063773571
1.69E+07;0.061746033
1.70E+07;0.0610761
1.72E+07;0.059214131
1.75E+07;0.057325893
1.77E+07;0.055411015
1.80E+07;0.053469121
1.80E+07;0.0533127
1.83E+07;0.051796303
1.85E+07;0.050258512
1.88E+07;0.048699025
1.90E+07;0.0473414
1.93E+07;0.045650852
1.95E+07;0.043936454
1.98E+07;0.042197869
2.00E+07;0.0410347
2.03E+07;0.039624614
2.06E+07;0.038194633
2.09E+07;0.036744479
2.10E+07;0.0360373
2.13E+07;0.034730414
2.16E+07;0.03340509
2.19E+07;0.032061068
2.20E+07;0.0316262
2.23E+07;0.030278559
2.26E+07;0.028911906
2.29E+07;0.027525971
2.30E+07;0.0272843
2.33E+07;0.026086158
2.37E+07;0.024871113
2.40E+07;0.023638926
2.40E+07;0.0235919
2.43E+07;0.02254743
2.47E+07;0.021488225
2.50E+07;0.0205072
2.54E+07;0.019678414
2.57E+07;0.018837935
2.60E+07;0.0181574
2.64E+07;0.017334565
2.67E+07;0.016500121
2.70E+07;0.0159142
2.74E+07;0.015103828
2.78E+07;0.014282023
2.80E+07;0.0137868
2.84E+07;0.013169922
2.88E+07;0.012544341
2.90E+07;0.0122252
2.94E+07;0.011760829
2.98E+07;0.011289906
3.00E+07;0
3.04E+07;0
3.09E+07;0
3.13E+07;0
3.17E+07;0
3.22E+07;0
3.26E+07;0
3.31E+07;0
3.36E+07;0
3.40E+07;0
3.45E+07;0
3.50E+07;0
3.55E+07;0
3.60E+07;0
3.65E+07;0
3.70E+07;0
3.75E+07;0
3.81E+07;0
3.86E+07;0
3.91E+07;0
3.97E+07;0
4.03E+07;0
4.08E+07;0
4.14E+07;0
4.20E+07;0
4.26E+07;0
4.32E+07;0
4.38E+07;0
4.44E+07;0
4.50E+07;0
4.57E+07;0
4.63E+07;0
4.70E+07;0
4.76E+07;0
4.83E+07;0
4.90E+07;0
4.97E+07;0
5.04E+07;0
5.11E+07;0
5.18E+07;0
5.25E+07;0
5.33E+07;0
5.40E+07;0
5.48E+07;0
5.56E+07;0
5.64E+07;0
5.71E+07;0
5.80E+07;0
5.88E+07;0
5.96E+07;0
6.04E+07;0
6.13E+07;0
6.22E+07;0
6.30E+07;0
6.39E+07;0
6.48E+07;0
6.57E+07;0
6.67E+07;0
6.76E+07;0
6.86E+07;0
6.95E+07;0
7.05E+07;0
7.15E+07;0
7.25E+07;0
7.35E+07;0
7.46E+07;0
7.56E+07;0
7.67E+07;0
7.78E+07;0
7.89E+07;0
8.00E+07;0
8.11E+07;0
8.23E+07;0
8.34E+07;0
8.46E+07;0
8.58E+07;0
8.70E+07;0
8.82E+07;0
8.95E+07;0
9.07E+07;0
9.20E+07;0
9.33E+07;0
9.46E+07;0
9.60E+07;0
9.73E+07;0
9.87E+07;0
1.00E+08;0
1.01E+08;0
