Incident energy [eV];Computed function [b]
1.620725E+00;1.000200E-20
9.955181E+04;1.000000E-20
1.000000E+05;4.165800E-20
1.014108E+05;9.790000E-18
1.233856E+05;1.621200E-16
1.244543E+05;1.167300E-15
1.262101E+05;3.440700E-13
1.557251E+05;6.124900E-12
1.577682E+05;4.448600E-11
1.577769E+05;8.000300E-11
1.577791E+05;9.082100E-11
1.577812E+05;1.022900E-10
1.577840E+05;1.174200E-10
1.577872E+05;1.365500E-10
1.577910E+05;1.598800E-10
1.577965E+05;1.944500E-10
1.578084E+05;2.727600E-10
1.931000E+05;2.338130E-07
2.000000E+05;2.513510E-07
3.000000E+05;3.310930E-06
4.000000E+05;2.188480E-05
5.000000E+05;9.368050E-05
5.998820E+05;2.968290E-04
6.998308E+05;7.573050E-04
8.000000E+05;1.645240E-03
9.000000E+05;3.154993E-03
1.000000E+06;5.490881E-03
1.200000E+06;1.336100E-02
1.400000E+06;2.626034E-02
1.600000E+06;4.429670E-02
1.800000E+06;6.668551E-02
2.000000E+06;9.212368E-02
2.215519E+06;1.215633E-01
2.416930E+06;1.503020E-01
2.800000E+06;2.069611E-01
3.200000E+06;2.340094E-01
3.400000E+06;2.505795E-01
3.600000E+06;2.710304E-01
3.826806E+06;2.892498E-01
4.000000E+06;3.044435E-01
4.229627E+06;3.120693E-01
4.400000E+06;3.166096E-01
4.600000E+06;3.321728E-01
4.902057E+06;3.437366E-01
5.200000E+06;3.533986E-01
5.600000E+06;3.618503E-01
5.840914E+06;3.688997E-01
6.000000E+06;3.721525E-01
6.243735E+06;3.742712E-01
6.490292E+06;3.778308E-01
6.693114E+06;3.805904E-01
6.800000E+06;3.824312E-01
7.200000E+06;3.808714E-01
7.552200E+06;3.830917E-01
7.800000E+06;3.843880E-01
8.056433E+06;3.795226E-01
8.500000E+06;3.729473E-01
9.000000E+06;3.577051E-01
9.500000E+06;3.319084E-01
1.000000E+07;2.997881E-01
1.014108E+07;2.910604E-01
1.028415E+07;2.822096E-01
1.042925E+07;2.732340E-01
1.050000E+07;2.688570E-01
1.064814E+07;2.589535E-01
1.079836E+07;2.489103E-01
1.095071E+07;2.387254E-01
1.100000E+07;2.354300E-01
1.115519E+07;2.259708E-01
1.131257E+07;2.163782E-01
1.147217E+07;2.066503E-01
1.150000E+07;2.049540E-01
1.166224E+07;1.962340E-01
1.182678E+07;1.873910E-01
1.199363E+07;1.784232E-01
1.200000E+07;1.780810E-01
1.216930E+07;1.705367E-01
1.234099E+07;1.628860E-01
1.250000E+07;1.558000E-01
1.267635E+07;1.485329E-01
1.285519E+07;1.411632E-01
1.300000E+07;1.351960E-01
1.318341E+07;1.287672E-01
1.336940E+07;1.222478E-01
1.350000E+07;1.176700E-01
1.369046E+07;1.120114E-01
1.388361E+07;1.062730E-01
1.400000E+07;1.028150E-01
1.419751E+07;9.765299E-02
1.439782E+07;9.241815E-02
1.450000E+07;8.974760E-02
1.470457E+07;8.555770E-02
1.491202E+07;8.130869E-02
1.500000E+07;7.950680E-02
1.521162E+07;7.624057E-02
1.542623E+07;7.292826E-02
1.564387E+07;6.956921E-02
1.586457E+07;6.616278E-02
1.600000E+07;6.407260E-02
1.622573E+07;6.162926E-02
1.645465E+07;5.915146E-02
1.668679E+07;5.663869E-02
1.692221E+07;5.409047E-02
1.700000E+07;5.324850E-02
1.723984E+07;5.143896E-02
1.748306E+07;4.960389E-02
1.772972E+07;4.774293E-02
1.797985E+07;4.585572E-02
1.800000E+07;4.570370E-02
1.825395E+07;4.443770E-02
1.851148E+07;4.315383E-02
1.877264E+07;4.185185E-02
1.900000E+07;4.071840E-02
1.926806E+07;3.959653E-02
1.953989E+07;3.845884E-02
1.981557E+07;3.730509E-02
2.000000E+07;3.653320E-02
2.028216E+07;3.562720E-02
2.056831E+07;3.470842E-02
2.085849E+07;3.377667E-02
2.100000E+07;3.332230E-02
2.129627E+07;3.261406E-02
2.159672E+07;3.189583E-02
2.190142E+07;3.116747E-02
2.200000E+07;3.093180E-02
2.231038E+07;3.054035E-02
2.262514E+07;3.014337E-02
2.294434E+07;2.974080E-02
2.300000E+07;2.967060E-02
2.332449E+07;2.904100E-02
2.365356E+07;2.840251E-02
2.398726E+07;2.775501E-02
2.400000E+07;2.773030E-02
2.433860E+07;2.713217E-02
2.468197E+07;2.652560E-02
2.500000E+07;2.596380E-02
2.535271E+07;2.548807E-02
2.571039E+07;2.500563E-02
2.600000E+07;2.461500E-02
2.636681E+07;2.372507E-02
2.673880E+07;2.282259E-02
2.700000E+07;2.218890E-02
2.738092E+07;2.174985E-02
2.776722E+07;2.130461E-02
2.800000E+07;2.103630E-02
2.839503E+07;2.075322E-02
2.879563E+07;2.046615E-02
2.900000E+07;2.031970E-02
2.940914E+07;1.987259E-02
2.982405E+07;1.941918E-02
3.000000E+07;1.940320E-02
3.042325E+07;1.910977E-02
3.085246E+07;1.881425E-02
3.128774E+07;1.851667E-02
3.172915E+07;1.821706E-02
3.200000E+07;1.803430E-02
3.217679E+07;1.783367E-02
3.263075E+07;1.732165E-02
3.309111E+07;1.680705E-02
3.355796E+07;1.628996E-02
3.400000E+07;1.580480E-02
3.403141E+07;1.577540E-02
3.451153E+07;1.532810E-02
3.499842E+07;1.487862E-02
3.549219E+07;1.442705E-02
3.599292E+07;1.397349E-02
3.600000E+07;1.396711E-02
3.650072E+07;1.358948E-02
3.701567E+07;1.320466E-02
3.753790E+07;1.281808E-02
3.800000E+07;1.247910E-02
3.806749E+07;1.243652E-02
3.860456E+07;1.209951E-02
3.914920E+07;1.176092E-02
3.970152E+07;1.142082E-02
