Incident energy [eV];Computed function [b]
1.181823E+05;1.079200E-14
1.182067E+05;1.080640E-14
1.182310E+05;1.082090E-14
1.182554E+05;1.083530E-14
1.182797E+05;1.084980E-14
1.183041E+05;1.086420E-14
1.183284E+05;1.087870E-14
1.183527E+05;1.089310E-14
1.183770E+05;1.090750E-14
1.184014E+05;1.092200E-14
1.184257E+05;1.093640E-14
1.184501E+05;1.095090E-14
1.184744E+05;1.096530E-14
1.184988E+05;1.097980E-14
1.185110E+05;1.098700E-14
1.185231E+05;1.099420E-14
1.185353E+05;1.100150E-14
1.185475E+05;1.100870E-14
1.185597E+05;1.101600E-14
1.185718E+05;1.102310E-14
1.185840E+05;1.103040E-14
1.185962E+05;1.103760E-14
1.186084E+05;1.104490E-14
1.186205E+05;1.105200E-14
1.186327E+05;1.105930E-14
1.186449E+05;1.106650E-14
1.186510E+05;1.107010E-14
1.186571E+05;1.107380E-14
1.186632E+05;1.107740E-14
1.186692E+05;1.108090E-14
1.186764E+05;1.108520E-14
1.186836E+05;1.108950E-14
1.186908E+05;1.109380E-14
1.186980E+05;1.109800E-14
1.187052E+05;1.110230E-14
1.187088E+05;1.110450E-14
1.187124E+05;1.110660E-14
1.187160E+05;1.110870E-14
1.187196E+05;1.111090E-14
1.187232E+05;1.111300E-14
1.187267E+05;1.111510E-14
1.187296E+05;1.111680E-14
1.187325E+05;1.111850E-14
1.187354E+05;1.112020E-14
1.187382E+05;1.112190E-14
1.187411E+05;1.112360E-14
1.187439E+05;1.112530E-14
1.187468E+05;1.112700E-14
1.187496E+05;1.112870E-14
1.187525E+05;1.113040E-14
1.187553E+05;1.113210E-14
1.187610E+05;1.113540E-14
1.187724E+05;1.114220E-14
1.187768E+05;1.114480E-14
1.187812E+05;1.114740E-14
1.187856E+05;1.115000E-14
1.187900E+05;1.115260E-14
1.187925E+05;1.115410E-14
1.187949E+05;1.115560E-14
1.187998E+05;1.115850E-14
1.188047E+05;1.116140E-14
1.188096E+05;1.116430E-14
1.188194E+05;1.117010E-14
1.188243E+05;1.117300E-14
1.188292E+05;1.117590E-14
1.188319E+05;1.117750E-14
1.188346E+05;1.117910E-14
1.188373E+05;1.118070E-14
1.188400E+05;1.118230E-14
1.188427E+05;1.118390E-14
1.188454E+05;1.118550E-14
1.188507E+05;1.118870E-14
1.188561E+05;1.119190E-14
1.188615E+05;1.119510E-14
1.188669E+05;1.119830E-14
1.188722E+05;1.120140E-14
1.188774E+05;1.120450E-14
1.188825E+05;1.120750E-14
1.188877E+05;1.121060E-14
1.188928E+05;1.121370E-14
1.188980E+05;1.121670E-14
1.189031E+05;1.121980E-14
1.189082E+05;1.122280E-14
1.189133E+05;1.122580E-14
1.189236E+05;1.123190E-14
1.189338E+05;1.123800E-14
1.189441E+05;1.124410E-14
1.189543E+05;1.125020E-14
1.189631E+05;1.125540E-14
1.189719E+05;1.126060E-14
1.189807E+05;1.126580E-14
1.189895E+05;1.127110E-14
1.189983E+05;1.127630E-14
1.190071E+05;1.128150E-14
1.190247E+05;1.129200E-14
1.190423E+05;1.130240E-14
1.190599E+05;1.131280E-14
1.190775E+05;1.132330E-14
1.190950E+05;1.133370E-14
1.191126E+05;1.134410E-14
1.191302E+05;1.135460E-14
1.191478E+05;1.136500E-14
1.191654E+05;1.137550E-14
1.191830E+05;1.138590E-14
1.192006E+05;1.139640E-14
1.192182E+05;1.140680E-14
1.192358E+05;1.141720E-14
1.192710E+05;1.143810E-14
1.193062E+05;1.145900E-14
1.193414E+05;1.147990E-14
1.193765E+05;1.150080E-14
1.194117E+05;1.152170E-14
1.194469E+05;1.154250E-14
1.194821E+05;1.156340E-14
1.195172E+05;1.158430E-14
1.195524E+05;1.160520E-14
1.195876E+05;1.162610E-14
1.196228E+05;1.164700E-14
