Energy [MeV];Cross-Section [barns]
0.000808694;3.1375E-11
0.000885771;2.998E-11
0.000956744;2.885E-11
0.00105686;2.7439E-11
0.00113355;2.6507E-11
0.00124165;2.5322E-11
0.00137668;2.4043E-11
0.00148699;2.3138E-11
0.00161739;2.2185E-11
0.00177154;2.1199E-11
0.00191349;2.0399E-11
0.00211372;1.9402E-11
0.00226709;1.8744E-11
0.00247954;1.7918E-11
0.00275337;1.7001E-11
0.00297398;1.6361E-11
0.00323478;1.5687E-11
0.00353657;1.5003E-11
0.00380896;1.4457E-11
0.00422745;1.372E-11
0.00453419;1.3254E-11
0.00495908;1.267E-11
0.00550674;1.2021E-11
0.00594797;1.1569E-11
0.00646955;1.1093E-11
0.00707399;1.0608E-11
0.00763274;1.0213E-11
0.00822248;9.8393E-12
0.00913073;9.3351E-12
0.00937243;9.2124E-12
0.00937643;9.2304E-12
0.00937743;9.2655E-12
0.00937843;9.3516E-12
0.00937918;9.4827E-12
0.00937968;9.6221E-12
0.00938018;9.8214E-12
0.00938056;1.0022E-11
0.00938093;1.0277E-11
0.00938131;1.0598E-11
0.00938168;1.0997E-11
0.00938206;1.1487E-11
0.00938231;1.1872E-11
0.00938256;1.2307E-11
0.00938281;1.2798E-11
0.00938306;1.3349E-11
0.00938331;1.3964E-11
0.00938356;1.4646E-11
0.00938381;1.5399E-11
0.00938406;1.6227E-11
0.00938431;1.7132E-11
0.00938456;1.8117E-11
0.00938481;1.9182E-11
0.00938506;2.0329E-11
0.00938544;2.2202E-11
0.00938581;2.4255E-11
0.00938619;2.6479E-11
0.00938656;2.8862E-11
0.00938706;3.2253E-11
0.00938769;3.6759E-11
0.00938921;4.82E-11
0.00938999;5.3737E-11
0.00939051;5.7155E-11
0.00939103;6.0287E-11
0.00939154;6.3096E-11
0.00939206;6.5562E-11
0.00939258;6.7679E-11
0.0093931;6.9457E-11
0.00939361;7.092E-11
0.00939439;7.2588E-11
0.00939516;7.3735E-11
0.0093962;7.4668E-11
0.00939723;7.5155E-11
0.00939879;7.545E-11
0.00940189;7.5524E-11
0.00940293;7.5548E-11
0.01;7.4826E-11
0.0112941;7.8591E-11
0.0121449;8.1067E-11
0.0129603;8.3205E-11
0.014623;8.7563E-11
0.01526;8.9076E-11
0.0167508;9.2618E-11
0.0172163;9.3642E-11
0.0196616;9.9022E-11
0.0198421;9.9407E-11
0.02;9.9744E-11
0.0201411;1.0053E-10
0.0259067;1.3258E-10
0.03;1.5569E-10
0.0326919;1.7896E-10
0.0347471;1.9759E-10
0.0374115;2.2266E-10
0.04;2.4802E-10
0.0419301;2.7848E-10
0.0433611;3.0238E-10
0.0450123;3.3142E-10
0.0468512;3.656E-10
0.0485704;3.9939E-10
0.0493169;4.1469E-10
0.05;4.2869E-10
0.0525141;4.874E-10
0.0544173;5.3488E-10
0.0564904;5.8965E-10
0.0584238;6.4376E-10
0.0599882;6.8947E-10
0.06;6.8981E-10
0.0616852;7.5438E-10
0.0635772;8.3214E-10
0.06524;9.0458E-10
0.0666;9.6645E-10
0.0688478;1.07587E-09
0.07;1.13517E-09
0.0709704;1.19269E-09
0.0711782;1.20501E-09
0.073288;1.33777E-09
0.0755292;1.49001E-09
0.0770965;1.60362E-09
0.0790202;1.75145E-09
0.0796937;1.8069E-09
0.08;1.83212E-09
0.0801474;1.84425E-09
0.0802927;1.85621E-09
0.0805066;1.87383E-09
0.0805911;1.88078E-09
0.0807167;1.89189E-09
0.0809218;1.91003E-09
0.0811232;1.92784E-09
0.0813199;1.94523E-09
0.0815129;1.9623E-09
0.0817013;1.97897E-09
0.0818863;1.99533E-09
0.0820669;2.0113E-09
0.0822392;2.02654E-09
0.0822441;2.027E-09
0.0824171;2.04321E-09
0.0825868;2.05911E-09
0.0827525;2.07464E-09
0.0829151;2.08987E-09
0.0831261;2.10964E-09
0.0833328;2.129E-09
0.0835335;2.14781E-09
0.0837283;2.16607E-09
0.0839175;2.18379E-09
0.0841012;2.20101E-09
0.0841143;2.20223E-09
0.0842796;2.21872E-09
0.0844527;2.23599E-09
0.0846208;2.25276E-09
0.0847839;2.26903E-09
0.0849422;2.28482E-09
0.0850959;2.30015E-09
0.0853185;2.32236E-09
0.0855302;2.34348E-09
0.0857336;2.36377E-09
0.0859269;2.38305E-09
0.0861127;2.40158E-09
0.0861708;2.40738E-09
0.0862892;2.41995E-09
0.0864588;2.43794E-09
0.086676;2.46098E-09
0.0868801;2.48264E-09
0.0870719;2.50299E-09
0.0872521;2.5221E-09
0.0874213;2.54006E-09
0.0876549;2.56485E-09
0.0878698;2.58765E-09
0.0880632;2.60817E-09
0.0880646;2.60831E-09
0.0882411;2.62817E-09
0.0884591;2.65269E-09
0.0886502;2.67419E-09
0.0888178;2.69305E-09
0.0890291;2.71681E-09
0.0892063;2.73675E-09
0.0894041;2.75899E-09
0.0896165;2.78288E-09
0.089808;2.80443E-09
0.09;2.82603E-09
0.0908747;2.93546E-09
0.0916847;3.03679E-09
0.0921835;3.0992E-09
0.0924021;3.12654E-09
0.0931262;3.22427E-09
0.0939589;3.33666E-09
0.0946936;3.43583E-09
0.0949465;3.46996E-09
0.0956259;3.56779E-09
0.0964132;3.68115E-09
0.0967213;3.7255E-09
0.0972977;3.81428E-09
0.0982183;3.95608E-09
0.0992325;4.11231E-09
0.0994475;4.14542E-09
0.1;4.23396E-09
0.101199;4.47601E-09
0.103331;4.93366E-09
0.105576;5.45463E-09
0.107066;5.82373E-09
0.109037;6.34107E-09
0.11;6.61106E-09
0.110575;6.77223E-09
0.112266;7.27681E-09
0.114152;7.87399E-09
0.115702;8.39764E-09
0.116207;8.56831E-09
0.118088;9.24539E-09
0.12;9.97603E-09
0.122425;1.09856E-08
0.124978;1.21337E-08
0.126741;1.29808E-08
0.129454;1.43769E-08
0.129611;1.44649E-08
0.13;1.46822E-08
0.130917;1.51947E-08
0.132431;1.60624E-08
0.134986;1.76376E-08
0.137829;1.95326E-08
0.14;2.10863E-08
0.142436;2.29721E-08
0.14429;2.44964E-08
0.147117;2.69746E-08
0.15;2.97037E-08
0.15244;3.22749E-08
0.154296;3.43485E-08
0.157122;3.77115E-08
0.16;4.14048E-08
0.162443;4.52295E-08
0.165002;4.95453E-08
0.16784;5.47244E-08
0.17;5.8961E-08
0.172398;6.39689E-08
0.174305;6.81912E-08
0.177129;7.48747E-08
0.18;8.21736E-08
0.180896;7.89315E-08
0.181721;7.59426E-08
0.181905;7.52789E-08
0.182466;7.33889E-08
0.183152;7.10793E-08
0.183241;7.07787E-08
0.183994;6.84389E-08
0.184734;6.6139E-08
0.184908;6.55998E-08
0.185385;6.42415E-08
0.186222;6.18541E-08
0.186643;6.06556E-08
0.187101;5.94643E-08
0.187821;5.75903E-08
0.188554;5.56856E-08
0.188597;5.5584E-08
0.189297;5.3921E-08
0.19;5.22517E-08
0.19061;5.32628E-08
0.191184;5.42137E-08
0.191977;5.55276E-08
0.192681;5.66942E-08
0.192707;5.67413E-08
0.193365;5.7913E-08
0.193971;5.89917E-08
0.194715;6.03153E-08
0.195368;6.14776E-08
0.195719;6.21023E-08
0.196192;6.30203E-08
0.196885;6.43633E-08
0.197659;6.58646E-08
0.198461;6.74189E-08
0.199009;6.84823E-08
0.19924;6.893E-08
0.2;2.51351E-07
0.3;3.31093E-06
0.4;2.18848E-05
0.5;9.36805E-05
0.599882;0.000296829
0.699831;0.000757305
0.8;0.00164524
0.9;0.00315499
1;0.00549088
1.2;0.013361
1.4;0.0262603
1.6;0.0442967
1.8;0.0666855
2;0.0921237
2.21552;0.121563
2.41693;0.150307
2.8;0.206961
3.2;0.234009
3.4;0.25058
3.6;0.27103
3.82681;0.28925
4;0.304443
4.22963;0.312069
4.4;0.31661
4.6;0.332173
4.90206;0.343737
5.2;0.353399
5.6395;0.363077
5.84091;0.3689
6;0.372153
6.24374;0.374271
6.49029;0.377831
6.69311;0.38059
6.8;0.382431
7.2;0.380871
7.66396;0.383743
7.8;0.384388
8.05643;0.379523
8.5;0.372947
9;0.357705
9.5;0.331908
10;0.299788
10.1411;0.29106
10.2842;0.28221
10.4292;0.273234
10.5;0.268857
10.6481;0.258954
10.7984;0.24891
10.9507;0.238725
11;0.23543
11.1552;0.225971
11.3126;0.216378
11.4722;0.20665
11.5;0.204954
11.6622;0.196234
11.8268;0.187391
11.9936;0.178423
12;0.178081
12.1693;0.170537
12.341;0.162886
12.5;0.1558
12.6764;0.148533
12.8552;0.141163
13;0.135196
13.1834;0.128767
13.3694;0.122248
13.5;0.11767
13.6905;0.112011
13.8836;0.106273
14;0.102815
14.1975;0.097653
14.3978;0.0924182
14.5;0.0897476
14.7046;0.0855577
14.912;0.0813087
15;0.0795068
15.2116;0.0762406
15.4262;0.0729283
15.6439;0.0695692
15.8646;0.0661628
16;0.0640726
16.2257;0.0616293
16.4546;0.0591515
16.6868;0.0566387
16.9222;0.0540905
17;0.0532485
17.2398;0.051439
17.4831;0.0496039
17.7297;0.0477429
17.9799;0.0458557
18;0.0457037
18.2539;0.0444377
18.5115;0.0431538
18.7726;0.0418518
19;0.0407184
19.2681;0.0395965
19.5399;0.0384588
19.8156;0.0373051
20;0.0365332
20.2822;0.0356272
20.5683;0.0347084
20.8585;0.0337767
21;0.0333223
21.2963;0.0326141
21.5967;0.0318958
21.9014;0.0311675
22;0.0309318
22.3104;0.0305403
22.6251;0.0301434
22.9443;0.0297408
23;0.0296706
23.3245;0.029041
23.6536;0.0284025
23.9873;0.027755
24;0.0277303
24.3386;0.0271322
24.682;0.0265256
25;0.0259638
